name, chained, nodes, throughput, goodput, mean, sd, rec, sent, batch_size, msg_size
3test43_400_4_99999999999, #3, 4, 400, 314.442340, 1.127148, 0.825449, 2941, 4000, 99999999999, 1
3test44_1000_4_99999999999, #3, 4, 1000, 285.163531, 0.737400, 1.579323, 2748, 10000, 99999999999, 1
3test45_100_4_99999999999, #3, 4, 100, 105.792186, 0.555124, 0.238798, 922, 1000, 99999999999, 1
3test46_1_4_99999999999, #3, 4, 1, 1.074746, 0.833119, 0.658075, 9, 10, 99999999999, 1
3test47_10_4_99999999999, #3, 4, 10, 10.026043, 0.424933, 0.241900, 96, 100, 99999999999, 1
3test48_2000_4_99999999999, #3, 4, 2000, 19.096453, 0.015241, 0.174176, 152, 20000, 99999999999, 1
3test49_1_4_99999999999, #3, 4, 1, 1.057519, 0.569225, 0.299402, 9, 10, 99999999999, 1
3test50_800_4_99999999999, #3, 4, 800, 299.583093, 0.798596, 1.452460, 2749, 8000, 99999999999, 1
3test51_4000_4_99999999999, #3, 4, 4000, -0.000000, 0.000000, 0.000000, 0, 40000, 99999999999, 1
3test52_200_4_99999999999, #3, 4, 200, 183.211739, 0.797595, 0.400751, 1719, 2000, 99999999999, 1
3test53_100_4_99999999999, #3, 4, 100, 99.816838, 0.638851, 0.262029, 931, 1000, 99999999999, 1
3test54_4000_4_99999999999, #3, 4, 4000, -0.000000, 0.000000, 0.000000, 0, 40000, 99999999999, 1
3test55_2000_4_99999999999, #3, 4, 2000, 44.341864, 0.040487, 0.311686, 332, 20000, 99999999999, 1
3test56_4000_4_99999999999, #3, 4, 4000, -0.000000, 0.000000, 0.000000, 0, 40000, 99999999999, 1
3test57_600_4_99999999999, #3, 4, 600, 277.309895, 1.047830, 1.353916, 2617, 6000, 99999999999, 1
3test58_800_4_99999999999, #3, 4, 800, 251.840484, 0.707232, 1.371887, 2355, 8000, 99999999999, 1
3test59_1000_4_99999999999, #3, 4, 1000, 200.054574, 0.358766, 0.905980, 1376, 10000, 99999999999, 1
4test0_1_4_99999999999, #4, 4, 1, 1.059366, 0.465345, 0.201183, 9, 10, 99999999999, 1
